ID,Comment,Brand,Platform,Sentiment,Theme,Date
302,Excellent customer service. Highly recommended.,Sana Safinaz,Twitter,Positive,Delivery Experience,2024-10-23
303,Customer service was unhelpful.,Gul Ahmed,Twitter,Negative,New Collection,2024-04-04
304,Disappointed with the delivery delay.,Sana Safinaz,Twitter,Negative,New Collection,2024-12-22
305,Prices are a bit high compared to last year.,Khaadi,Facebook,Neutral,New Collection,2024-11-13
306,Disappointed with the delivery delay.,Gul Ahmed,Facebook,Negative,New Collection,2024-07-30
307,Very happy with the purchase. Will shop again!,Alkaram,Twitter,Positive,Customer Service,2024-10-07
308,Loved the new collection! Absolutely stunning.,Sapphire,Instagram,Positive,New Collection,2024-11-19
309,Very happy with the purchase. Will shop again!,Gul Ahmed,Instagram,Positive,Delivery Experience,2024-01-02
310,Prices are a bit high compared to last year.,Sapphire,Facebook,Neutral,New Collection,2024-07-10
311,Had a decent shopping experience.,Sana Safinaz,Facebook,Neutral,Customer Service,2024-10-06
312,Loved the new collection! Absolutely stunning.,Alkaram,Twitter,Positive,Sustainability,2024-02-24
313,Great quality and beautiful designs.,Gul Ahmed,Facebook,Positive,Sale,2024-07-21
314,Very happy with the purchase. Will shop again!,Sana Safinaz,Instagram,Positive,Customer Service,2024-05-17
315,Received a wrong item and no response to complaint.,Gul Ahmed,Facebook,Negative,Sale,2024-01-18
316,Excellent customer service. Highly recommended.,Sapphire,Instagram,Positive,Sustainability,2024-05-07
317,"Delivery was on time, average service.",Sapphire,Facebook,Neutral,Sale,2024-11-27
318,Excellent customer service. Highly recommended.,Gul Ahmed,Twitter,Positive,Sale,2024-12-23
319,Disappointed with the delivery delay.,Gul Ahmed,Instagram,Negative,Delivery Experience,2024-06-27
320,Disappointed with the delivery delay.,Khaadi,Facebook,Negative,New Collection,2024-09-17
321,"Delivery was on time, average service.",Sana Safinaz,Twitter,Neutral,Sale,2024-08-23
322,Colors seem different from pictures.,Gul Ahmed,Twitter,Neutral,Customer Service,2024-09-14
323,Disappointed with the delivery delay.,Alkaram,Facebook,Negative,Delivery Experience,2024-07-26
324,"The collection looks okay, nothing special.",Gul Ahmed,Instagram,Neutral,Sale,2024-12-02
325,Great quality and beautiful designs.,Sana Safinaz,Twitter,Positive,Sustainability,2024-11-24
326,Customer service was unhelpful.,Sana Safinaz,Instagram,Negative,Sale,2024-10-10
327,"Delivery was on time, average service.",Gul Ahmed,Facebook,Neutral,Sale,2024-01-21
328,Appreciate the sustainable packaging. Well done!,Sapphire,Twitter,Positive,Delivery Experience,2024-05-21
329,Very happy with the purchase. Will shop again!,Khaadi,Twitter,Positive,Delivery Experience,2024-01-01
330,Very happy with the purchase. Will shop again!,Sapphire,Twitter,Positive,Sale,2024-11-05
331,"Delivery was on time, average service.",Alkaram,Instagram,Neutral,Sustainability,2024-08-15
332,Prices are a bit high compared to last year.,Sana Safinaz,Instagram,Neutral,Sustainability,2024-03-03
333,Appreciate the sustainable packaging. Well done!,Sapphire,Instagram,Positive,Sale,2024-10-03
334,"The collection looks okay, nothing special.",Gul Ahmed,Instagram,Neutral,Customer Service,2024-05-17
335,Bad experience with the website. Very slow.,Sana Safinaz,Twitter,Negative,Customer Service,2024-05-31
336,Appreciate the sustainable packaging. Well done!,Khaadi,Twitter,Positive,New Collection,2024-06-16
337,Disappointed with the delivery delay.,Sapphire,Instagram,Negative,Delivery Experience,2024-09-05
338,Received a wrong item and no response to complaint.,Sapphire,Facebook,Negative,Delivery Experience,2024-12-15
339,Loved the new collection! Absolutely stunning.,Sapphire,Facebook,Positive,New Collection,2024-08-24
340,Received a wrong item and no response to complaint.,Gul Ahmed,Facebook,Negative,Sustainability,2024-06-28
341,Had a decent shopping experience.,Khaadi,Instagram,Neutral,Sale,2024-10-28
342,Customer service was unhelpful.,Alkaram,Instagram,Negative,New Collection,2024-04-09
343,Great quality and beautiful designs.,Gul Ahmed,Twitter,Positive,Sustainability,2024-03-06
344,Received a wrong item and no response to complaint.,Khaadi,Instagram,Negative,Sustainability,2024-10-10
345,Bad experience with the website. Very slow.,Gul Ahmed,Twitter,Negative,Sale,2024-10-24
346,Appreciate the sustainable packaging. Well done!,Khaadi,Facebook,Positive,Sustainability,2024-07-17
347,"Poor fabric quality, not worth the price.",Alkaram,Twitter,Negative,Customer Service,2024-05-23
348,Disappointed with the delivery delay.,Gul Ahmed,Twitter,Negative,Sale,2024-04-21
349,Prices are a bit high compared to last year.,Gul Ahmed,Twitter,Neutral,New Collection,2024-06-23
350,"Poor fabric quality, not worth the price.",Sana Safinaz,Instagram,Negative,New Collection,2024-05-25
351,Received a wrong item and no response to complaint.,Khaadi,Twitter,Negative,Customer Service,2024-02-21
352,Appreciate the sustainable packaging. Well done!,Sapphire,Facebook,Positive,Delivery Experience,2024-12-14
353,Had a decent shopping experience.,Sapphire,Instagram,Neutral,Sustainability,2024-04-13
354,Very happy with the purchase. Will shop again!,Khaadi,Facebook,Positive,New Collection,2024-03-22
355,Customer service was unhelpful.,Khaadi,Twitter,Negative,Sustainability,2024-10-18
356,Received a wrong item and no response to complaint.,Khaadi,Twitter,Negative,Sustainability,2024-11-03
357,Colors seem different from pictures.,Sapphire,Instagram,Neutral,New Collection,2024-05-12
358,Customer service was unhelpful.,Sapphire,Twitter,Negative,Sustainability,2024-09-20
359,Colors seem different from pictures.,Sapphire,Facebook,Neutral,Sustainability,2024-05-09
360,Very happy with the purchase. Will shop again!,Gul Ahmed,Twitter,Positive,Delivery Experience,2024-10-05
361,Colors seem different from pictures.,Alkaram,Facebook,Neutral,New Collection,2024-02-08
362,"Poor fabric quality, not worth the price.",Sana Safinaz,Twitter,Negative,Delivery Experience,2024-11-23
363,Loved the new collection! Absolutely stunning.,Gul Ahmed,Twitter,Positive,Customer Service,2024-04-16
364,Disappointed with the delivery delay.,Sapphire,Instagram,Negative,Customer Service,2024-02-06
365,Loved the new collection! Absolutely stunning.,Khaadi,Twitter,Positive,Customer Service,2024-11-07
366,"The collection looks okay, nothing special.",Sapphire,Instagram,Neutral,Sale,2024-09-14
367,Had a decent shopping experience.,Sapphire,Facebook,Neutral,Sustainability,2024-07-06
368,Bad experience with the website. Very slow.,Sana Safinaz,Facebook,Negative,Delivery Experience,2024-06-04
369,"The collection looks okay, nothing special.",Khaadi,Twitter,Neutral,New Collection,2024-06-26
370,Customer service was unhelpful.,Alkaram,Twitter,Negative,Sustainability,2024-02-14
371,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Facebook,Positive,Sale,2024-05-03
372,Very happy with the purchase. Will shop again!,Sana Safinaz,Twitter,Positive,Delivery Experience,2024-08-21
373,Prices are a bit high compared to last year.,Gul Ahmed,Facebook,Neutral,New Collection,2024-12-03
374,Excellent customer service. Highly recommended.,Alkaram,Facebook,Positive,Sale,2024-10-07
375,Excellent customer service. Highly recommended.,Khaadi,Instagram,Positive,New Collection,2024-08-14
376,Great quality and beautiful designs.,Khaadi,Instagram,Positive,Sustainability,2024-12-15
377,Customer service was unhelpful.,Sapphire,Instagram,Negative,Delivery Experience,2024-08-08
378,"The collection looks okay, nothing special.",Khaadi,Facebook,Neutral,Sale,2024-07-27
379,"Poor fabric quality, not worth the price.",Gul Ahmed,Instagram,Negative,Sustainability,2024-10-08
380,"Poor fabric quality, not worth the price.",Sapphire,Facebook,Negative,Sustainability,2024-06-09
381,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Twitter,Positive,Customer Service,2024-02-27
382,"Delivery was on time, average service.",Khaadi,Instagram,Neutral,Sustainability,2024-11-27
383,Excellent customer service. Highly recommended.,Gul Ahmed,Twitter,Positive,New Collection,2024-05-01
384,Great quality and beautiful designs.,Sapphire,Instagram,Positive,Delivery Experience,2024-10-11
385,Customer service was unhelpful.,Alkaram,Twitter,Negative,Delivery Experience,2024-09-24
386,"Delivery was on time, average service.",Gul Ahmed,Facebook,Neutral,Sustainability,2024-05-14
387,Received a wrong item and no response to complaint.,Sana Safinaz,Facebook,Negative,Sustainability,2024-08-22
388,Customer service was unhelpful.,Alkaram,Twitter,Negative,New Collection,2024-03-06
389,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Twitter,Positive,Customer Service,2024-08-13
390,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,Customer Service,2024-12-25
391,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Instagram,Positive,Sustainability,2024-02-15
392,Appreciate the sustainable packaging. Well done!,Alkaram,Instagram,Positive,Sale,2024-01-17
393,"Delivery was on time, average service.",Alkaram,Twitter,Neutral,Sustainability,2024-01-03
394,Had a decent shopping experience.,Gul Ahmed,Instagram,Neutral,Sale,2024-10-05
395,Great quality and beautiful designs.,Sapphire,Instagram,Positive,Sustainability,2024-06-08
396,Received a wrong item and no response to complaint.,Khaadi,Twitter,Negative,Customer Service,2024-08-31
397,Appreciate the sustainable packaging. Well done!,Khaadi,Instagram,Positive,Delivery Experience,2024-10-31
398,Disappointed with the delivery delay.,Alkaram,Instagram,Negative,Sustainability,2024-04-26
399,"Poor fabric quality, not worth the price.",Alkaram,Facebook,Negative,Delivery Experience,2024-03-27
400,Very happy with the purchase. Will shop again!,Gul Ahmed,Instagram,Positive,Delivery Experience,2024-05-04
401,Very happy with the purchase. Will shop again!,Gul Ahmed,Instagram,Positive,New Collection,2024-11-30
402,"Delivery was on time, average service.",Khaadi,Instagram,Neutral,Customer Service,2024-07-13
403,Appreciate the sustainable packaging. Well done!,Khaadi,Instagram,Positive,Customer Service,2024-09-10
404,Bad experience with the website. Very slow.,Alkaram,Instagram,Negative,Customer Service,2024-02-27
405,Very happy with the purchase. Will shop again!,Alkaram,Twitter,Positive,Customer Service,2024-12-04
406,Very happy with the purchase. Will shop again!,Sana Safinaz,Twitter,Positive,Sustainability,2024-02-22
407,"Poor fabric quality, not worth the price.",Gul Ahmed,Facebook,Negative,New Collection,2024-07-16
408,Colors seem different from pictures.,Sapphire,Twitter,Neutral,Delivery Experience,2024-04-10
409,"Poor fabric quality, not worth the price.",Khaadi,Twitter,Negative,Delivery Experience,2024-08-25
410,Excellent customer service. Highly recommended.,Sana Safinaz,Instagram,Positive,Sustainability,2024-01-30
411,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Sustainability,2024-08-03
412,"Poor fabric quality, not worth the price.",Sapphire,Facebook,Negative,Sale,2024-04-11
413,Prices are a bit high compared to last year.,Sana Safinaz,Facebook,Neutral,Customer Service,2024-10-02
414,"The collection looks okay, nothing special.",Sana Safinaz,Twitter,Neutral,Sustainability,2024-07-14
415,Very happy with the purchase. Will shop again!,Khaadi,Instagram,Positive,Sale,2024-09-26
416,"The collection looks okay, nothing special.",Gul Ahmed,Twitter,Neutral,Sustainability,2024-06-25
417,Loved the new collection! Absolutely stunning.,Sapphire,Instagram,Positive,Sale,2024-12-18
418,Appreciate the sustainable packaging. Well done!,Sapphire,Facebook,Positive,Sale,2024-07-15
419,Colors seem different from pictures.,Sapphire,Facebook,Neutral,Delivery Experience,2024-12-15
420,"The collection looks okay, nothing special.",Khaadi,Facebook,Neutral,Delivery Experience,2024-03-08
421,Bad experience with the website. Very slow.,Gul Ahmed,Instagram,Negative,Delivery Experience,2024-01-02
422,Customer service was unhelpful.,Alkaram,Twitter,Negative,Sale,2024-01-23
423,Customer service was unhelpful.,Gul Ahmed,Twitter,Negative,New Collection,2024-05-21
424,"Delivery was on time, average service.",Sapphire,Twitter,Neutral,Sale,2024-07-09
425,Great quality and beautiful designs.,Khaadi,Instagram,Positive,New Collection,2024-08-28
426,Appreciate the sustainable packaging. Well done!,Alkaram,Instagram,Positive,Sustainability,2024-08-31
427,Loved the new collection! Absolutely stunning.,Khaadi,Facebook,Positive,Sale,2024-01-07
428,Loved the new collection! Absolutely stunning.,Alkaram,Facebook,Positive,Sale,2024-02-22
429,Had a decent shopping experience.,Sapphire,Facebook,Neutral,Sale,2024-08-11
430,Disappointed with the delivery delay.,Alkaram,Facebook,Negative,Customer Service,2024-07-03
431,Loved the new collection! Absolutely stunning.,Gul Ahmed,Twitter,Positive,New Collection,2024-08-12
432,Excellent customer service. Highly recommended.,Alkaram,Twitter,Positive,New Collection,2024-07-14
433,Prices are a bit high compared to last year.,Khaadi,Facebook,Neutral,Sustainability,2024-08-06
434,"The collection looks okay, nothing special.",Khaadi,Twitter,Neutral,Delivery Experience,2024-08-10
435,Excellent customer service. Highly recommended.,Sana Safinaz,Facebook,Positive,New Collection,2024-10-16
436,Colors seem different from pictures.,Khaadi,Facebook,Neutral,Sale,2024-07-27
437,Received a wrong item and no response to complaint.,Alkaram,Twitter,Negative,Sustainability,2024-04-04
438,Colors seem different from pictures.,Khaadi,Instagram,Neutral,New Collection,2024-09-23
439,Disappointed with the delivery delay.,Sapphire,Twitter,Negative,Sustainability,2024-02-05
440,Great quality and beautiful designs.,Alkaram,Facebook,Positive,Sustainability,2024-12-12
441,"The collection looks okay, nothing special.",Gul Ahmed,Twitter,Neutral,Sale,2024-02-06
442,"Poor fabric quality, not worth the price.",Sapphire,Twitter,Negative,Sustainability,2024-10-26
443,"Poor fabric quality, not worth the price.",Sapphire,Instagram,Negative,Sale,2024-01-04
444,Colors seem different from pictures.,Sapphire,Instagram,Neutral,New Collection,2024-06-03
445,Bad experience with the website. Very slow.,Gul Ahmed,Facebook,Negative,Sustainability,2024-03-30
446,Disappointed with the delivery delay.,Gul Ahmed,Twitter,Negative,Sustainability,2024-08-22
447,Very happy with the purchase. Will shop again!,Khaadi,Twitter,Positive,Delivery Experience,2024-07-02
448,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,Sustainability,2024-05-18
449,"The collection looks okay, nothing special.",Khaadi,Instagram,Neutral,Sale,2024-01-05
450,"Poor fabric quality, not worth the price.",Sana Safinaz,Instagram,Negative,Customer Service,2024-01-12
451,"The collection looks okay, nothing special.",Alkaram,Twitter,Neutral,Customer Service,2024-08-03
452,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Facebook,Positive,Sustainability,2024-02-13
453,Excellent customer service. Highly recommended.,Alkaram,Twitter,Positive,Sale,2024-01-18
454,"The collection looks okay, nothing special.",Khaadi,Instagram,Neutral,Delivery Experience,2024-08-03
